orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10100,2021-07-23,2021-07-30,2021-07-27,Shipped,,363
10101,2021-07-26,2021-08-04,2021-07-28,Shipped,Check on availability.,128
10102,2021-07-27,2021-08-04,2021-07-31,Shipped,,181
10103,2021-08-15,2021-08-24,2021-08-19,Shipped,,121
10104,2021-08-17,2021-08-26,2021-08-18,Shipped,,141
10105,2021-08-28,2021-09-07,2021-08-29,Shipped,,145
10106,2021-09-03,2021-09-10,2021-09-07,Shipped,,278
10107,2021-09-10,2021-09-17,2021-09-12,Shipped,Difficult to negotiate with customer. We need more marketing materials,131
10108,2021-09-17,2021-09-26,2021-09-22,Shipped,,385
10109,2021-09-24,2021-10-03,2021-09-25,Shipped,Customer requested that FedEx Ground is used for this shipping,486
10110,2021-10-02,2021-10-08,2021-10-04,Shipped,,187
10111,2021-10-09,2021-10-15,2021-10-14,Shipped,,129
10112,2021-10-08,2021-10-18,2021-10-13,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",144
10113,2021-10-10,2021-10-17,2021-10-11,Shipped,,124
10114,2021-10-16,2021-10-22,2021-10-17,Shipped,,172
10115,2021-10-19,2021-10-27,2021-10-22,Shipped,,424
10116,2021-10-26,2021-11-03,2021-10-28,Shipped,,381
10117,2021-10-31,2021-11-08,2021-11-01,Shipped,,148
10118,2021-11-05,2021-11-13,2021-11-10,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,216
10119,2021-11-12,2021-11-19,2021-11-16,Shipped,,382
10120,2021-11-13,2021-11-22,2021-11-15,Shipped,,114
10121,2021-11-21,2021-11-27,2021-11-27,Shipped,,353
10122,2021-11-22,2021-11-30,2021-11-27,Shipped,,350
10123,2021-12-04,2021-12-13,2021-12-06,Shipped,,103
10124,2021-12-05,2021-12-13,2021-12-09,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,112
10125,2021-12-05,2021-12-11,2021-12-08,Shipped,,114
10126,2021-12-12,2021-12-22,2021-12-17,Shipped,,458
10127,2021-12-18,2021-12-24,2021-12-21,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,151
10128,2021-12-21,2021-12-27,2021-12-26,Shipped,,141
10129,2021-12-27,2022-01-02,2021-12-29,Shipped,,324
10130,2021-12-31,2022-01-08,2022-01-05,Shipped,,198
10131,2021-12-31,2022-01-09,2022-01-05,Shipped,,447
10132,2022-01-09,2022-01-15,2022-01-12,Shipped,,323
10133,2022-01-11,2022-01-18,2022-01-17,Shipped,,141
10134,2022-01-15,2022-01-24,2022-01-19,Shipped,,250
10135,2022-01-16,2022-01-26,2022-01-17,Shipped,,124
10136,2022-01-18,2022-01-28,2022-01-20,Shipped,Customer is interested in buying more Ferrari models,242
10137,2022-01-24,2022-02-03,2022-01-28,Shipped,,353
10138,2022-01-21,2022-01-30,2022-01-27,Shipped,,496
10139,2022-01-30,2022-02-06,2022-02-04,Shipped,,282
10140,2022-02-07,2022-02-16,2022-02-13,Shipped,,161
10141,2022-02-15,2022-02-23,2022-02-18,Shipped,,334
10142,2022-02-22,2022-03-02,2022-02-27,Shipped,,124
10143,2022-02-24,2022-03-04,2022-02-26,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,320
10144,2022-02-27,2022-03-07,2022-02-28,Shipped,,381
10145,2022-03-11,2022-03-19,2022-03-17,Shipped,,205
10146,2022-03-20,2022-03-30,2022-03-23,Shipped,,447
10147,2022-03-22,2022-03-29,2022-03-26,Shipped,,379
10148,2022-03-28,2022-04-07,2022-04-01,Shipped,They want to reevaluate their terms agreement with Finance.,276
10149,2022-03-29,2022-04-04,2022-04-03,Shipped,,487
10150,2022-04-05,2022-04-13,2022-04-07,Shipped,They want to reevaluate their terms agreement with Finance.,148
10151,2022-04-07,2022-04-16,2022-04-10,Shipped,,311
10152,2022-04-11,2022-04-19,2022-04-17,Shipped,,333
10153,2022-04-14,2022-04-21,2022-04-19,Shipped,,141
10154,2022-04-18,2022-04-28,2022-04-24,Shipped,,219
10155,2022-04-22,2022-04-29,2022-04-23,Shipped,,186
10156,2022-04-24,2022-05-03,2022-04-27,Shipped,,141
10157,2022-04-25,2022-05-01,2022-04-30,Shipped,,473
10158,2022-04-26,2022-05-04,2022-05-01,Shipped,,121
10159,2022-04-26,2022-05-05,2022-05-02,Shipped,,321
10160,2022-04-27,2022-05-03,2022-05-03,Shipped,,347
10161,2022-05-03,2022-05-11,2022-05-06,Shipped,,227
10162,2022-05-04,2022-05-12,2022-05-05,Shipped,,321
10163,2022-05-06,2022-05-13,2022-05-10,Shipped,,424
10164,2022-05-07,2022-05-16,2022-05-09,Resolved,"This order was disputed, but resolved on 11/1/2003; Customer doesn't like the colors and precision of the models.",452
10165,2022-05-08,2022-05-17,2022-07-12,Shipped,This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received,148
10166,2022-05-07,2022-05-16,2022-05-13,Shipped,,462
10167,2022-05-09,2022-05-16,,Cancelled,Customer called to cancel. The warehouse was notified in time and the order didn't ship. They have a new VP of Sales and are shifting their sales model. Our VP of Sales should contact them.,448
10168,2022-05-14,2022-05-20,2022-05-18,Shipped,,161
10169,2022-05-21,2022-05-31,2022-05-26,Shipped,,276
10170,2022-05-21,2022-05-29,2022-05-24,Shipped,,452
10171,2022-05-22,2022-05-30,2022-05-24,Shipped,,233
10172,2022-05-22,2022-05-31,2022-05-28,Shipped,,175
10173,2022-05-22,2022-06-01,2022-05-26,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",278
10174,2022-05-23,2022-06-01,2022-05-27,Shipped,,333
10175,2022-05-23,2022-05-31,2022-05-26,Shipped,,324
10176,2022-05-23,2022-06-01,2022-05-29,Shipped,,386
10177,2022-05-24,2022-06-03,2022-05-29,Shipped,,344
10178,2022-05-25,2022-06-02,2022-05-27,Shipped,Custom shipping instructions sent to warehouse,242
10179,2022-05-28,2022-06-03,2022-05-30,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,496
10180,2022-05-28,2022-06-05,2022-05-31,Shipped,,171
10181,2022-05-29,2022-06-05,2022-06-01,Shipped,,167
10182,2022-05-29,2022-06-07,2022-06-04,Shipped,,124
10183,2022-05-30,2022-06-08,2022-06-01,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,339
10184,2022-05-31,2022-06-08,2022-06-06,Shipped,,484
10185,2022-05-31,2022-06-07,2022-06-06,Shipped,,320
10186,2022-05-31,2022-06-06,2022-06-04,Shipped,They want to reevaluate their terms agreement with the VP of Sales,489
10187,2022-06-01,2022-06-10,2022-06-02,Shipped,,211
10188,2022-06-04,2022-06-12,2022-06-10,Shipped,,167
10189,2022-06-04,2022-06-11,2022-06-10,Shipped,They want to reevaluate their terms agreement with Finance.,205
10190,2022-06-05,2022-06-15,2022-06-06,Shipped,,141
10191,2022-06-06,2022-06-16,2022-06-10,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,259
10192,2022-06-06,2022-06-15,2022-06-11,Shipped,,363
10193,2022-06-07,2022-06-14,2022-06-13,Shipped,,471
10194,2022-06-11,2022-06-18,2022-06-12,Shipped,,146
10195,2022-06-11,2022-06-17,2022-06-14,Shipped,,319
10196,2022-06-12,2022-06-19,2022-06-17,Shipped,,455
10197,2022-06-12,2022-06-18,2022-06-17,Shipped,Customer inquired about remote controlled models and gold models.,216
10198,2022-06-13,2022-06-22,2022-06-19,Shipped,,385
10199,2022-06-17,2022-06-26,2022-06-22,Shipped,,475
10200,2022-06-17,2022-06-25,2022-06-22,Shipped,,211
10201,2022-06-17,2022-06-27,2022-06-18,Shipped,,129
10202,2022-06-18,2022-06-25,2022-06-22,Shipped,,357
10203,2022-06-18,2022-06-27,2022-06-23,Shipped,,141
10204,2022-06-18,2022-06-26,2022-06-20,Shipped,,151
10205,2022-06-19,2022-06-25,2022-06-23,Shipped, I need all the information I can get on our competitors.,141
10206,2022-06-21,2022-06-29,2022-06-24,Shipped,Can we renegotiate this one?,202
10207,2022-06-25,2022-07-03,2022-06-27,Shipped,Check on availability.,495
10208,2022-07-19,2022-07-28,2022-07-21,Shipped,,146
10209,2022-07-26,2022-08-01,2022-07-29,Shipped,,347
10210,2022-07-29,2022-08-08,2022-08-06,Shipped,,177
10211,2022-08-01,2022-08-11,2022-08-04,Shipped,,406
10212,2022-08-02,2022-08-10,2022-08-04,Shipped,,141
10213,2022-08-08,2022-08-14,2022-08-13,Shipped,Difficult to negotiate with customer. We need more marketing materials,489
10214,2022-08-12,2022-08-21,2022-08-15,Shipped,,458
10215,2022-08-15,2022-08-25,2022-08-18,Shipped,Customer requested that FedEx Ground is used for this shipping,475
10216,2022-08-19,2022-08-27,2022-08-21,Shipped,,256
10217,2022-08-21,2022-08-31,2022-08-23,Shipped,,166
10218,2022-08-26,2022-09-02,2022-08-28,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",473
10219,2022-08-27,2022-09-03,2022-08-29,Shipped,,487
10220,2022-08-29,2022-09-05,2022-09-02,Shipped,,189
10221,2022-09-04,2022-09-12,2022-09-05,Shipped,,314
10222,2022-09-05,2022-09-13,2022-09-06,Shipped,,239
10223,2022-09-06,2022-09-14,2022-09-10,Shipped,,114
10224,2022-09-07,2022-09-17,2022-09-12,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,171
10225,2022-09-08,2022-09-16,2022-09-10,Shipped,,298
10226,2022-09-12,2022-09-21,2022-09-17,Shipped,,239
10227,2022-09-17,2022-09-27,2022-09-23,Shipped,,146
10228,2022-09-25,2022-10-03,2022-09-28,Shipped,,173
10229,2022-09-26,2022-10-05,2022-09-27,Shipped,,124
10230,2022-09-30,2022-10-09,2022-10-05,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,128
10231,2022-10-04,2022-10-11,2022-10-10,Shipped,,344
10232,2022-10-05,2022-10-15,2022-10-10,Shipped,,240
10233,2022-10-14,2022-10-20,2022-10-18,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,328
10234,2022-10-15,2022-10-21,2022-10-18,Shipped,,412
10235,2022-10-18,2022-10-28,2022-10-22,Shipped,,260
10236,2022-10-19,2022-10-27,2022-10-24,Shipped,,486
10237,2022-10-21,2022-10-28,2022-10-26,Shipped,,181
10238,2022-10-25,2022-11-01,2022-10-26,Shipped,,145
10239,2022-10-28,2022-11-06,2022-11-02,Shipped,,311
10240,2022-10-29,2022-11-05,2022-11-05,Shipped,,177
10241,2022-10-29,2022-11-05,2022-11-04,Shipped,,209
10242,2022-11-05,2022-11-13,2022-11-10,Shipped,Customer is interested in buying more Ferrari models,456
10243,2022-11-11,2022-11-18,2022-11-13,Shipped,,495
10244,2022-11-14,2022-11-24,2022-11-19,Shipped,,141
10245,2022-11-19,2022-11-27,2022-11-24,Shipped,,455
10246,2022-11-20,2022-11-28,2022-11-21,Shipped,,141
10247,2022-11-20,2022-11-26,2022-11-23,Shipped,,334
10248,2022-11-22,2022-11-29,,Cancelled,Order was mistakenly placed. The warehouse noticed the lack of documentation.,131
10249,2022-11-23,2022-12-02,2022-11-26,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,173
10250,2022-11-26,2022-12-04,2022-11-30,Shipped,,450
10251,2022-12-03,2022-12-09,2022-12-09,Shipped,,328
10252,2022-12-11,2022-12-20,2022-12-14,Shipped,,406
10253,2022-12-17,2022-12-25,2022-12-18,Cancelled,"Customer disputed the order and we agreed to cancel it. We must be more cautions with this customer going forward, since they are very hard to please. We must cover the shipping fees.",201
10254,2022-12-19,2022-12-29,2022-12-20,Shipped,Customer requested that DHL is used for this shipping,323
10255,2022-12-20,2022-12-28,2022-12-25,Shipped,,209
10256,2022-12-24,2023-01-01,2022-12-26,Shipped,,145
10257,2022-12-30,2023-01-09,2022-12-31,Shipped,,450
10258,2022-12-31,2023-01-10,2023-01-08,Shipped,,398
10259,2022-12-31,2023-01-07,2023-01-02,Shipped,,166
10260,2023-01-01,2023-01-07,,Cancelled,Customer heard complaints from their customers and called to cancel this order. Will notify the Sales Manager.,357
10261,2023-01-02,2023-01-10,2023-01-07,Shipped,,233
10262,2023-01-09,2023-01-16,,Cancelled,This customer found a better offer from one of our competitors. Will call back to renegotiate.,141
10263,2023-01-13,2023-01-19,2023-01-17,Shipped,,175
10264,2023-01-15,2023-01-21,2023-01-16,Shipped,Customer will send a truck to our local warehouse on 7/1/2004,362
10265,2023-01-17,2023-01-24,2023-01-22,Shipped,,471
10266,2023-01-21,2023-01-29,2023-01-25,Shipped,,386
10267,2023-01-22,2023-02-01,2023-01-24,Shipped,,151
10268,2023-01-27,2023-02-02,2023-01-29,Shipped,,412
10269,2023-01-31,2023-02-06,2023-02-02,Shipped,,382
10270,2023-02-03,2023-02-11,2023-02-08,Shipped,Can we renegotiate this one?,282
10271,2023-02-04,2023-02-13,2023-02-07,Shipped,,124
10272,2023-02-04,2023-02-10,2023-02-06,Shipped,,157
10273,2023-02-05,2023-02-12,2023-02-06,Shipped,,314
